Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
12,"Spoofing of Destination Data Store IPFS cluster node ",Spoofing,Mod�le r�seau,From ThingsBoard server to IPFS cluster node  via unnamed,High,Not Started,,IPFS cluster node  may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS cluster node . Consider using a standard authentication mechanism to identify the destination data store.,,Generated
13,"Potential Excessive Resource Consumption for ThingsBoard server or IPFS cluster node ",Denial Of Service,Mod�le r�seau,From ThingsBoard server to IPFS cluster node  via unnamed,High,Not Started,,"Does ThingsBoard server or IPFS cluster node  take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
14,"Spoofing of Source Data Store IPFS cluster node ",Spoofing,Mod�le r�seau,<N/A>,High,Not Started,,IPFS cluster node  may be spoofed by an attacker and this may lead to incorrect data delivered to ThingsBoard server. Consider using a standard authentication mechanism to identify the source data store.,,Generated
15,Weak Access Control for a Resource,Information Disclosure,Mod�le r�seau,<N/A>,High,Not Started,,Improper data protection of IPFS cluster node  can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
16,Spoofing of Destination Data Store IPFS Edge node,Spoofing,Mod�le r�seau,CID,High,Not Started,,IPFS Edge node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge node. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
17,Potential Excessive Resource Consumption for ThingsBoard Edge or IPFS Edge node,Denial Of Service,Mod�le r�seau,CID,High,Not Started,,"Does ThingsBoard Edge or IPFS Edge node take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
18,"Spoofing of Source Data Store IPFS cluster node ",Spoofing,Mod�le r�seau,firmware,High,Not Started,,IPFS cluster node  may be spoofed by an attacker and this may lead to incorrect data delivered to IPFS Edge node. Consider using a standard authentication mechanism to identify the source data store.,,Generated
19,Spoofing of Destination Data Store IPFS Edge node,Spoofing,Mod�le r�seau,firmware,High,Not Started,,IPFS Edge node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge node. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
20,Data Store Denies IPFS Edge node Potentially Writing Data,Repudiation,Mod�le r�seau,firmware,High,Not Started,,"IPFS Edge node claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
21,Data Flow firmware Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,firmware,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
22,Data Store Inaccessible,Denial Of Service,Mod�le r�seau,firmware,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
23,Spoofing of Source Data Store OTA Source,Spoofing,Mod�le r�seau,From OTA Source to ThingsBoard server via unnamed,High,Not Started,,OTA Source may be spoofed by an attacker and this may lead to incorrect data delivered to ThingsBoard server. Consider using a standard authentication mechanism to identify the source data store.,,Generated
24,Weak Access Control for a Resource,Information Disclosure,Mod�le r�seau,From OTA Source to ThingsBoard server via unnamed,High,Not Started,,Improper data protection of OTA Source can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
25,Spoofing the ThingsBoard Edge Process,Spoofing,Mod�le r�seau,CID,High,Not Started,,ThingsBoard Edge may be spoofed by an attacker and this may lead to unauthorized access to Launcher . Consider using a standard authentication mechanism to identify the source process.,,Generated
26,Spoofing the Launcher  Process,Spoofing,Mod�le r�seau,CID,High,Not Started,,Launcher  may be spoofed by an attacker and this may lead to information disclosure by ThingsBoard Edge. Consider using a standard authentication mechanism to identify the destination process.,,Generated
27,"Potential Lack of Input Validation for Launcher ",Tampering,Mod�le r�seau,CID,High,Not Started,,Data flowing across CID may be tampered with by an attacker. This may lead to a denial of service attack against Launcher  or an elevation of privilege attack against Launcher  or an information disclosure by Launcher . Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
28,"Potential Data Repudiation by Launcher ",Repudiation,Mod�le r�seau,CID,High,Not Started,,"Launcher  claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
29,Data Flow Sniffing,Information Disclosure,Mod�le r�seau,CID,High,Not Started,,"Data flowing across CID may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
30,"Potential Process Crash or Stop for Launcher ",Denial Of Service,Mod�le r�seau,CID,High,Not Started,,"Launcher  crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
31,Data Flow CID Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,CID,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
32,Elevation Using Impersonation,Elevation Of Privilege,Mod�le r�seau,CID,High,Not Started,,Launcher  may be able to impersonate the context of ThingsBoard Edge in order to gain additional privilege.,,Generated
33,Launcher  May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Mod�le r�seau,CID,High,Not Started,,ThingsBoard Edge may be able to remotely execute code for Launcher .,,Generated
34,"Elevation by Changing the Execution Flow in Launcher ",Elevation Of Privilege,Mod�le r�seau,CID,High,Not Started,,An attacker may pass data into Launcher  in order to change the flow of program execution within Launcher  to the attacker's choosing.,,Generated
35,Cross Site Request Forgery,Elevation Of Privilege,Mod�le r�seau,CID,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
36,Launcher  Process Memory Tampered,Tampering,Mod�le r�seau,From Launcher  to PFS Client via unnamed,High,Not Started,,"If Launcher  is given access to memory, such as shared memory or pointers, or is given the ability to control what PFS Client executes (for example, passing back a function pointer.), then Launcher  can tamper with PFS Client. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
37,Elevation Using Impersonation,Elevation Of Privilege,Mod�le r�seau,From Launcher  to PFS Client via unnamed,High,Not Started,,PFS Client may be able to impersonate the context of Launcher  in order to gain additional privilege.,,Generated
38,External Entity V2V Interactor Potentially Denies Receiving Data,Repudiation,Mod�le r�seau,ETSI ITS,High,Not Started,,"V2V Interactor claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
39,Data Flow ETSI ITS Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,ETSI ITS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
40,External Entity V2V Interactor Potentially Denies Receiving Data,Repudiation,Mod�le r�seau,ETSI ITS,High,Not Started,,"V2V Interactor claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
41,Data Flow ETSI ITS Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,ETSI ITS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
51,Spoofing of Source Data Store IPFS Edge node,Spoofing,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,IPFS Edge node may be spoofed by an attacker and this may lead to incorrect data delivered to PFS Client. Consider using a standard authentication mechanism to identify the source data store.,,Generated
52,Potential Data Repudiation by PFS Client,Repudiation,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,"PFS Client claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
53,Weak Access Control for a Resource,Information Disclosure,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,Improper data protection of IPFS Edge node can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
54,Potential Process Crash or Stop for PFS Client,Denial Of Service,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,"PFS Client crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
55,Data Flow CID / manifest HTTPS Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
56,Data Store Inaccessible,Denial Of Service,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
57,PFS Client May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,IPFS Edge node may be able to remotely execute code for PFS Client.,,Generated
58,Elevation by Changing the Execution Flow in PFS Client,Elevation Of Privilege,Mod�le r�seau,CID / manifest HTTPS,High,Not Started,,An attacker may pass data into PFS Client in order to change the flow of program execution within PFS Client to the attacker's choosing.,,Generated
66,Data Store Inaccessible,Denial Of Service,Mod�le r�seau,Bitswap,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
65,Data Flow Bitswap Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,Bitswap,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
64,Potential Excessive Resource Consumption for PFS Client or IPFS Edge node,Denial Of Service,Mod�le r�seau,Bitswap,High,Not Started,,"Does PFS Client or IPFS Edge node take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
63,Data Flow Sniffing,Information Disclosure,Mod�le r�seau,Bitswap,High,Not Started,,"Data flowing across Bitswap may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
62,Data Store Denies IPFS Edge node Potentially Writing Data,Repudiation,Mod�le r�seau,Bitswap,High,Not Started,,"IPFS Edge node claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
61,The IPFS Edge node Data Store Could Be Corrupted,Tampering,Mod�le r�seau,Bitswap,High,Not Started,,Data flowing across Bitswap may be tampered with by an attacker. This may lead to corruption of IPFS Edge node. Ensure the integrity of the data flow to the data store.,,Generated
60,Spoofing of Destination Data Store IPFS Edge node,Spoofing,Mod�le r�seau,Bitswap,High,Not Started,,IPFS Edge node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge node. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
59,Spoofing the PFS Client Process,Spoofing,Mod�le r�seau,Bitswap,High,Not Started,,PFS Client may be spoofed by an attacker and this may lead to unauthorized access to IPFS Edge node. Consider using a standard authentication mechanism to identify the source process.,,Generated
67,Spoofing the V2V Interactor External Entity,Spoofing,Mod�le r�seau,CID,High,Not Started,,V2V Interactor may be spoofed by an attacker and this may lead to unauthorized access to PFS Client. Consider using a standard authentication mechanism to identify the external entity.,,Generated
68,Elevation Using Impersonation,Elevation Of Privilege,Mod�le r�seau,CID,High,Not Started,,PFS Client may be able to impersonate the context of V2V Interactor in order to gain additional privilege.,,Generated
69,Spoofing the UPF External Entity,Spoofing,Mod�le r�seau,From UPF to MEC via unnamed,High,Not Started,,UPF may be spoofed by an attacker and this may lead to unauthorized access to MEC. Consider using a standard authentication mechanism to identify the external entity.,,Generated
70,Elevation Using Impersonation,Elevation Of Privilege,Mod�le r�seau,From UPF to MEC via unnamed,High,Not Started,,MEC may be able to impersonate the context of UPF in order to gain additional privilege.,,Generated
71,Elevation Using Impersonation,Elevation Of Privilege,Mod�le r�seau,From MEC to ThingsBoard Edge via unnamed,High,Not Started,,ThingsBoard Edge may be able to impersonate the context of MEC in order to gain additional privilege.,,Generated
72,Spoofing of Destination Data Store IPFS Edge node,Spoofing,Mod�le r�seau,From MEC to IPFS Edge node via unnamed,High,Not Started,,IPFS Edge node may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Edge node. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
73,Potential Excessive Resource Consumption for MEC or IPFS Edge node,Denial Of Service,Mod�le r�seau,From MEC to IPFS Edge node via unnamed,High,Not Started,,"Does MEC or IPFS Edge node take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
74,Authenticated Data Flow Compromised,Tampering,Mod�le r�seau,ETSI ITS,High,Not Started,,An attacker can read or modify data transmitted over an authenticated dataflow.,,Generated
75,Authenticated Data Flow Compromised,Tampering,Mod�le r�seau,ETSI ITS,High,Not Started,,An attacker can read or modify data transmitted over an authenticated dataflow.,,Generated
